condition,slurm_id,prior_range,tmax,n_summary_dims,a_var,sd_r_var,tau_prior,a_prior,A_prior,mu_c_prior,b_prior,mu_r_prior,sd_r_prior,x0_var,A_prior_shape,A_prior_rate,A_prior_mean,A_prior_sd,tau_prior_shape,tau_prior_rate,tau_prior_mean,tau_prior_sd,mu_c_prior_shape,mu_c_prior_rate,mu_c_prior_mean,mu_c_prior_sd,b_prior_shape,b_prior_rate,b_prior_mean,b_prior_sd,mu_r_prior_shape,mu_r_prior_rate,mu_r_prior_mean,mu_r_prior_sd,sd_r_prior_shape,sd_r_prior_rate,sd_r_prior_mean,sd_r_prior_sd,a_value,a_prior_shape,a_prior_rate,a_prior_shift,a_prior_mean,a_prior_sd,link_function,normal_restriction,attention_setting_key_dim,num_heads,num_inducing_points,num_seeds,num_dense_fc,dense_setting_units,dense_setting_activation,coupling_design,n_coupling_layers,n_epochs,learning_rate,max_obs,batch_size,use_layer_norm,n_iterations,alphas_in_dir_cond,category,dropout
0,NA,hedge_tau_white,1200,32,fixed,estimated,gamma,fixed,gamma,gamma,gamma,gamma,gamma,trial,1.52805132823972,0.112765808112132,NA,NA,5.03480112235441,0.0722652104145622,NA,NA,8.65128462254049,18.3979297297186,NA,NA,10.0283446142465,0.123949200503196,NA,NA,30.310625759819,0.0688620897828568,NA,NA,4.04328762941423,0.0594320785147454,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
1,NA,hedge_tau_white,1200,32,estimated,estimated,gamma,gamma,gamma,gamma,gamma,gamma,gamma,trial,1.52805132823972,0.112765808112132,NA,NA,5.03480112235441,0.0722652104145622,NA,NA,8.65128462254049,18.3979297297186,NA,NA,10.0283446142465,0.123949200503196,NA,NA,30.310625759819,0.0688620897828568,NA,NA,4.04328762941423,0.0594320785147454,NA,NA,NA,3,2.5,1,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
2,NA,hedge_tau_white,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,trial,1.52805132823972,0.112765808112132,NA,NA,5.03480112235441,0.0722652104145622,NA,NA,8.65128462254049,18.3979297297186,NA,NA,10.0283446142465,0.123949200503196,NA,NA,14.9549760615408,0.0326740647923783,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
3,NA,hedge_tau_white,1200,32,estimated,fixed,gamma,gamma,gamma,gamma,gamma,gamma,gamma,trial,1.52805132823972,0.112765808112132,NA,NA,5.03480112235441,0.0722652104145622,NA,NA,8.65128462254049,18.3979297297186,NA,NA,10.0283446142465,0.123949200503196,NA,NA,14.9549760615408,0.0326740647923783,NA,NA,NA,NA,NA,NA,NA,3,2.5,1,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
4,NA,hedge_tau_white,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,trial,1.52805132823972,0.112765808112132,NA,NA,5.03480112235441,0.0722652104145622,NA,NA,8.65128462254049,18.3979297297186,NA,NA,10.0283446142465,0.123949200503196,NA,NA,14.9549760615408,0.0326740647923783,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
5,NA,hedge_tau_white,1200,32,estimated,estimated,gamma,gamma,gamma,gamma,gamma,gamma,gamma,trial,1.52805132823972,0.112765808112132,NA,NA,5.03480112235441,0.0722652104145622,NA,NA,8.65128462254049,18.3979297297186,NA,NA,10.0283446142465,0.123949200503196,NA,NA,30.310625759819,0.0688620897828568,NA,NA,4.04328762941423,0.0594320785147454,NA,NA,NA,3,2.5,1,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
6,NA,default,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,trial,9.21989474124158,0.231548313480054,NA,NA,14.628130718472,0.182979370994416,NA,NA,9.59912608080012,19.2247065481295,NA,NA,26.6129610163746,0.33383406034772,NA,NA,87.5207541274882,0.286116857967738,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
7,NA,default,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,fixed,9.21989474124158,0.231548313480054,NA,NA,14.628130718472,0.182979370994416,NA,NA,9.59912608080012,19.2247065481295,NA,NA,26.6129610163746,0.33383406034772,NA,NA,87.5207541274882,0.286116857967738,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
8,NA,default,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,trial,9.21989474124158,0.231548313480054,NA,NA,14.628130718472,0.182979370994416,NA,NA,9.59912608080012,19.2247065481295,NA,NA,26.6129610163746,0.33383406034772,NA,NA,87.5207541274882,0.286116857967738,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
9,NA,default,1200,32,fixed,fixed,gamma,fixed,gamma,gamma,gamma,gamma,gamma,fixed,9.21989474124158,0.231548313480054,NA,NA,14.628130718472,0.182979370994416,NA,NA,9.59912608080012,19.2247065481295,NA,NA,26.6129610163746,0.33383406034772,NA,NA,87.5207541274882,0.286116857967738,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
