participant,rt,accuracy,congruency_num,spacing_num
6361,0.469,1,0,1
5281,0.454,1,0,1
8785,0.4345,1,0,1
6253,0.29,1,1,1
6427,0.515,1,0,1
1638,0.4156,1,0,1
1614,0.584,1,1,1
3910,0.4119,1,1,1
3625,0.4459,0,1,1
808,0.4861,1,0,1
3580,0.506,1,1,1
4222,0.4448,1,1,1
7939,0.401,1,0,1
6253,0.459,1,0,1
833,0.4338,1,0,1
3292,0.3523,1,1,1
1821,0.548,1,1,1
985,0.424,1,1,1
7768,0.4552,1,1,1
6565,0.3008,0,1,1
1824,0.5205,1,1,1
8446,0.3894,1,1,1
7768,0.5241,1,0,1
6565,0.4001,0,1,1
1821,0.286,1,1,1
8446,0.3039,1,0,1
1601,0.3779,1,0,1
1824,0.4663,1,0,1
5803,0.467,0,1,1
5332,0.403,1,1,1
3910,0.341,1,1,1
5575,0.4353,1,0,1
7924,0.4605,1,0,1
1583,0.6076,1,1,1
6583,0.3501,1,1,1
6844,0.444,1,1,1
5575,0.5068,1,1,1
7768,0.5525,1,1,1
1663,0.373,1,1,1
5575,0.3522,1,0,1
1538,0.5115,1,1,1
1597,0.466,1,0,1
833,0.4005,1,1,1
7924,0.452,1,1,1
833,0.5217,1,0,1
6529,0.369,1,1,1
6427,0.534,1,1,1
837,0.469,0,1,1
8521,0.5547,1,1,1
6361,0.512,1,0,1
6565,0.5377,0,0,1
1597,0.579,1,1,1
8521,0.5335,1,1,1
7768,0.399,1,1,1
845,0.4,1,1,1
7807,0.543,1,1,1
1761,0.634,1,1,1
337788,0.544,1,0,1
5761,0.4555,1,1,1
1638,0.3919,1,0,1
8308,0.37,1,1,1
4222,0.332,1,1,1
3625,0.3934,1,1,1
4264,0.4681,1,0,1
5803,0.465,1,1,1
6583,0.4566,1,0,1
8446,0.3244,1,0,1
5731,0.643,1,1,1
5575,0.3851,1,0,1
7828,0.3787,1,0,1
5575,0.4949,1,0,1
6262,0.4056,1,0,1
6253,0.55,1,0,1
8521,0.5681,1,0,1
1821,0.3233,1,1,1
1507,0.3849,1,0,1
6634,0.4504,0,1,1
7828,0.4663,1,1,1
6634,0.4338,1,1,1
810,0.4792,1,1,1
6844,0.586,1,0,1
8446,0.4058,1,0,1
5332,0.476,1,1,1
6427,0.463,1,1,1
1663,0.458,1,0,1
3754,0.4552,1,1,1
161753,0.473,1,1,1
3580,0.449,0,1,1
1583,0.35760000000000003,1,0,1
8311,0.379,1,0,1
6634,0.4601,1,0,1
7756,0.4122,1,1,1
5332,0.451,1,0,1
6361,0.457,1,0,1
3580,0.347,1,0,1
6214,0.3454,1,0,1
3988,0.4328,1,1,1
1583,0.4147,1,0,1
808,0.8147,1,0,1
5815,0.5145,1,1,1
161753,0.501,1,1,1
275,0.434,1,0,1
4264,0.4644,1,0,1
3754,0.5579,1,1,1
810,0.3891,1,0,1
985,0.39,1,1,1
4264,0.3212,1,0,1
837,0.385,1,1,1
1813,0.2862,1,0,1
7840,0.575,1,1,1
810,0.4904,1,1,1
7756,0.4204,1,0,1
