participant,rt,accuracy,congruency_num,spacing_num
1108,0.6583,1,0,0
1108,0.425,1,0,0
1108,0.4502,1,1,0
1108,0.4096,1,1,0
1108,0.3733,1,1,0
1108,0.4243,1,0,0
1108,0.3407,1,0,0
1108,0.385,1,1,0
1108,0.4283,1,1,0
1108,0.3703,1,0,0
1108,0.3823,1,1,0
1108,0.4244,1,1,0
1108,0.3926,1,1,0
1108,0.361,1,0,0
1108,0.3717,1,0,0
1108,0.3516,1,0,0
1108,0.3951,1,1,0
1108,0.4746,1,1,0
1108,0.4039,1,1,0
1108,0.4491,1,0,0
1108,0.3558,1,0,0
1108,0.3443,1,1,0
1108,0.3365,1,1,0
1108,0.376,1,1,0
1108,0.3633,1,0,0
1108,0.3111,1,0,0
1108,0.4455,1,0,0
1108,0.4999,1,1,0
1108,0.484,1,0,0
1108,0.3925,1,0,0
1108,0.6024,1,0,0
1108,0.3479,1,1,0
1108,0.636,1,1,0
1108,0.3815,1,0,0
1108,0.3451,0,1,0
1108,0.3815,1,1,0
1108,0.3709,1,0,0
1108,0.4252,1,0,0
1108,0.4048,1,0,0
1108,0.337,1,0,0
1108,0.4702,1,1,0
1108,0.3444,0,0,0
1108,0.5435,1,1,0
1108,0.3909,1,1,0
1108,0.6437,1,1,0
1108,0.3807,1,0,0
1108,0.3742,1,1,0
1108,0.4412,1,1,0
1108,0.3087,0,0,0
1108,0.4733,1,1,0
1108,0.6132,1,0,0
1108,0.5668,1,0,0
1108,0.3086,0,1,0
1108,0.4184,1,0,0
1108,0.5225,1,1,0
1108,0.4032,1,1,0
1108,0.4184,1,0,0
1108,0.3568,1,0,0
1108,0.3728,1,0,0
1108,0.342,1,1,0
1108,0.3504,1,0,0
1108,0.3334,0,1,0
1108,0.4612,1,1,0
1108,0.3822,1,1,0
1108,0.366,1,0,0
1108,0.3691,1,0,0
1108,0.3807,1,1,0
1108,0.3861,1,1,0
1108,0.292,1,0,0
1108,0.4159,1,0,0
1108,0.4244,1,1,0
1108,0.3161,1,1,0
1108,0.557,1,0,0
1108,0.5466,1,1,0
1108,0.3651,1,1,0
1108,0.3602,1,1,0
1108,0.3588,1,0,0
1108,0.3928,1,0,0
1108,0.3408,1,1,0
1108,0.3703,1,0,0
1108,0.4197,1,0,0
1108,0.458,1,1,0
1108,0.4204,1,1,0
1108,0.3262,1,0,0
1108,0.4203,1,0,0
1108,0.4371,1,1,0
1108,0.3898,1,0,0
1108,0.3538,1,0,0
1108,0.6617,1,0,0
1108,0.5597,1,0,0
1108,0.6854,1,0,0
1108,0.4924,1,1,0
1108,0.4875,1,1,0
1108,0.5535,1,0,0
1108,0.4586,1,1,0
1108,0.3245,1,0,0
1108,0.3146,1,1,0
1108,0.3654,1,0,0
1108,0.3969,1,1,0
1108,0.3821,1,0,0
1108,0.3329,1,1,0
1108,0.3841,1,1,0
1108,0.452,1,1,0
1108,0.4341,1,0,0
1108,0.408,1,1,0
1108,0.4112,1,0,0
1108,0.3858,1,1,0
1108,0.3705,1,1,0
1108,0.3292,1,0,0
1108,0.4518,0,1,0
1108,0.3756,1,1,0
1108,0.4283,1,1,0
1108,0.4598,1,1,0
1108,0.3559,1,0,0
1108,0.4501,1,1,0
1108,0.3444,1,1,0
1108,0.3852,1,0,0
1108,0.374,1,0,0
1108,0.3802,1,1,0
1108,0.4597,1,0,0
1108,0.4145,1,0,0
1108,0.3903,1,0,0
1108,0.3737,1,0,0
1108,0.3824,1,0,0
1108,0.3553,0,0,0
1108,0.3908,1,1,0
1108,0.3915,1,0,0
1108,0.3598,1,1,0
1108,0.3577,1,0,0
1108,0.3965,1,1,0
1108,0.3391,1,0,0
1108,0.6161,1,0,0
1108,0.6574,1,1,0
1108,0.4597,1,1,0
1108,0.419,1,1,0
1108,0.4435,1,1,0
1108,0.3411,1,0,0
1108,0.4216,1,0,0
1108,0.4082,1,0,0
1108,0.3908,1,1,0
1108,0.4093,1,0,0
1108,0.5315,1,1,0
1108,0.3164,1,0,0
1108,0.5048,1,1,0
1108,0.4329,1,0,0
1108,0.4081,1,0,0
1108,0.3664,1,1,0
1108,0.5856,1,0,0
1108,0.422,1,0,0
1108,0.4686,1,1,0
1108,0.4253,1,0,0
1108,0.4017,1,1,0
1108,0.4098,1,1,0
1108,0.392,1,1,0
1108,0.4198,1,1,0
1108,0.3992,1,0,0
1108,0.4079,1,0,0
1108,0.5992,1,1,0
1108,0.5257,1,1,0
1108,0.3604,1,0,0
1108,0.4279,1,1,0
1108,0.3536,1,1,0
1108,0.3527,1,1,0
1108,0.4151,1,0,0
1108,0.3903,1,0,0
1108,0.3914,1,0,0
1108,0.3446,1,0,0
1108,0.3088,1,0,0
1108,0.3656,1,0,0
1108,0.3972,1,0,0
1108,0.392,1,1,0
1108,0.4372,1,0,0
1108,0.3306,1,1,0
1108,0.355,1,1,0
1108,0.698,1,1,0
1108,0.5903,1,0,0
1108,0.3825,1,1,0
1108,0.3789,1,1,0
1108,0.367,1,0,0
1108,0.3997,1,0,0
1108,0.4214,1,0,0
1108,0.3574,1,0,0
1108,0.493,1,0,0
1108,0.4533,1,0,0
1108,0.6416,1,0,0
1108,0.3536,1,1,0
1108,0.5001,1,1,0
1108,0.3774,1,1,0
1108,0.5179,1,0,0
1108,0.5646,1,0,0
1108,0.3714,1,1,0
1108,0.3497,1,0,0
1108,0.4983,1,1,0
1108,0.4334,1,0,0
1108,0.3817,1,0,0
1108,0.4707,1,0,0
1108,0.3701,1,0,0
1108,0.4027,1,1,0
1108,0.3745,1,0,0
1108,0.526,1,0,0
1108,0.3911,1,1,0
1108,0.4558,1,1,0
1108,0.4986,1,0,0
1108,0.4333,1,1,0
1108,0.3725,1,1,0
1108,0.3451,1,1,0
1108,0.4321,1,1,0
1108,0.4066,1,1,0
1108,0.5113,1,0,0
1108,0.3429,1,0,0
1108,0.3594,1,1,0
1108,0.4438,0,0,0
1108,0.3623,1,0,0
1108,0.4195,1,1,0
1108,0.3953,1,1,0
1108,0.5933,1,1,0
1108,0.5009,1,1,0
1108,0.709,1,0,0
1108,0.3833,1,1,0
1108,0.501,1,1,0
1108,0.4306,1,1,0
1108,0.416,1,0,0
1108,0.3699,1,0,0
1108,0.333,1,0,0
1108,0.391,1,0,0
1108,0.3697,1,0,0
1108,0.3761,1,1,0
1108,0.4158,0,1,0
1108,0.3584,1,1,0
1108,0.3904,1,0,0
1108,0.4594,1,1,0
1108,0.34,1,0,0
1108,0.4264,1,0,0
1108,0.3798,0,1,0
1108,0.3611,1,1,0
1108,0.4501,1,0,0
1108,0.6744,1,1,0
1108,0.4076,1,1,0
1108,0.3985,1,1,0
1108,0.4586,1,1,0
1108,0.4234,1,1,0
1108,0.383,1,0,0
1108,0.3581,1,0,0
1108,0.3373,0,1,0
1108,0.3494,1,0,0
1108,0.3746,1,1,0
1108,0.3871,1,1,0
1108,0.4265,1,0,0
1108,0.3803,1,0,0
1108,0.3703,1,0,0
1108,0.4306,1,1,0
1108,0.5367,1,1,0
1108,0.4078,1,1,0
1108,0.3899,1,0,0
1108,0.3764,1,0,0
1108,0.3998,1,0,0
1108,0.3501,1,0,0
1108,0.3408,1,0,0
1108,0.4938,1,1,0
1108,0.4367,1,0,0
1108,0.3788,1,1,0
1108,0.5163,1,0,0
1108,0.3869,1,0,0
1108,0.4154,1,1,0
1108,0.4266,1,1,0
1108,0.4117,1,0,0
1108,0.403,1,0,0
1108,0.4579,1,1,0
1108,0.3904,1,0,0
1108,0.3334,1,1,0
1108,0.5904,1,0,0
1108,0.3948,1,1,0
1108,0.3593,1,0,0
