participant,rt,accuracy,congruency_num,spacing_num
275,0.453,1,0,1
275,0.444,1,0,1
275,0.38,1,0,1
275,0.384,1,1,1
275,0.494,1,0,1
275,0.585,1,0,1
275,0.343,1,1,1
275,0.445,1,0,1
275,0.462,1,1,1
275,0.351,1,0,1
275,0.455,1,1,1
275,0.468,1,1,1
275,0.452,1,0,1
275,0.392,1,1,1
275,0.377,1,0,1
275,0.61,1,1,1
275,0.474,1,0,1
275,0.574,1,1,1
275,0.511,1,1,1
275,0.347,1,1,1
275,0.768,1,0,1
275,0.505,1,1,1
275,0.767,1,0,1
275,0.459,1,0,1
275,0.563,1,0,1
275,0.353,1,1,1
275,0.516,1,0,1
275,0.468,1,0,1
275,0.416,1,1,1
275,0.366,0,0,1
275,0.343,1,1,1
275,0.394,1,0,1
275,0.389,1,1,1
275,0.372,1,1,1
275,0.532,1,1,1
275,0.554,1,1,1
275,0.364,1,1,1
275,0.463,1,0,1
275,0.433,1,1,1
275,0.488,1,1,1
275,0.346,1,0,1
275,0.51,1,0,1
275,0.511,1,0,1
275,0.714,1,1,1
275,0.399,1,0,1
275,0.351,0,1,1
275,0.354,1,0,1
275,0.48,1,0,1
275,0.346,1,0,1
275,0.506,1,1,1
275,0.469,1,1,1
275,0.537,1,1,1
275,0.481,1,1,1
275,0.38,1,1,1
275,0.484,1,1,1
275,0.497,1,1,1
275,0.682,1,1,1
275,0.406,1,0,1
275,0.346,1,1,1
275,0.483,1,0,1
275,0.489,1,1,1
275,0.655,1,0,1
275,0.629,1,0,1
275,0.398,1,0,1
275,0.353,1,1,1
275,0.441,1,1,1
275,0.506,1,1,1
275,0.646,1,1,1
275,0.583,1,1,1
275,0.497,1,1,1
275,0.527,1,0,1
275,0.46,1,0,1
275,0.433,1,1,1
275,0.486,1,1,1
275,0.364,0,1,1
275,0.381,0,1,1
275,0.379,1,0,1
275,0.498,1,1,1
275,0.379,1,0,1
275,0.372,1,0,1
275,0.463,1,0,1
275,0.446,1,0,1
275,0.433,1,1,1
275,0.384,1,1,1
275,0.383,1,1,1
275,0.417,1,1,1
275,0.42,1,0,1
275,0.612,1,1,1
275,0.612,1,1,1
275,0.378,1,1,1
275,0.387,1,0,1
275,0.627,1,1,1
275,0.432,1,0,1
275,0.403,1,0,1
275,0.466,1,1,1
275,0.387,1,0,1
275,0.394,1,0,1
275,0.363,1,1,1
275,0.469,1,1,1
275,0.403,1,0,1
275,0.565,1,1,1
275,0.365,1,0,1
275,0.4,1,0,1
275,0.646,1,1,1
275,0.368,1,0,1
275,0.579,1,1,1
275,0.441,1,1,1
275,0.387,1,1,1
275,0.414,1,1,1
275,0.653,1,1,1
275,0.513,1,1,1
275,0.5,1,0,1
275,0.426,1,0,1
275,0.421,1,0,1
275,0.612,1,1,1
275,0.486,1,1,1
275,0.528,1,0,1
275,0.561,1,0,1
275,0.446,1,0,1
275,0.649,1,0,1
275,0.384,1,0,1
275,0.447,1,1,1
275,0.435,1,1,1
275,0.481,1,0,1
275,0.412,1,0,1
275,0.419,0,1,1
275,0.495,1,1,1
275,0.414,1,0,1
275,0.419,1,0,1
275,0.487,1,1,1
275,0.446,1,0,1
275,0.553,1,1,1
275,0.666,1,1,1
275,0.379,1,1,1
275,0.428,1,0,1
275,0.46,1,0,1
275,0.544,1,1,1
275,0.588,1,1,1
275,0.346,1,1,1
275,0.354,1,0,1
275,0.567,1,1,1
275,0.548,1,1,1
275,0.394,1,1,1
275,0.537,1,1,1
275,0.533,1,1,1
275,0.345,1,1,1
275,0.378,1,0,1
275,0.432,1,0,1
275,0.435,1,0,1
275,0.784,1,0,1
275,0.433,1,1,1
275,0.38,1,0,1
275,0.365,1,0,1
275,0.461,1,0,1
275,0.385,1,1,1
275,0.413,1,1,1
275,0.518,1,0,1
275,0.376,1,1,1
275,0.439,1,0,1
275,0.54,1,1,1
275,0.362,1,0,1
275,0.379,1,0,1
275,0.421,1,0,1
275,0.463,1,0,1
275,0.427,0,1,1
275,0.523,1,1,1
275,0.463,1,1,1
275,0.389,1,0,1
275,0.433,1,1,1
275,0.47,1,0,1
275,0.477,1,0,1
275,0.326,1,1,1
275,0.353,1,0,1
275,0.447,1,1,1
275,0.399,1,1,1
275,0.366,1,0,1
275,0.366,1,0,1
275,0.401,1,0,1
275,0.396,1,1,1
275,0.415,1,0,1
275,0.303,1,0,1
275,0.514,1,1,1
275,0.548,1,1,1
275,0.434,1,0,1
275,0.652,1,1,1
275,0.495,1,1,1
275,0.417,1,0,1
275,0.428,1,0,1
275,0.396,1,0,1
275,0.381,1,0,1
275,0.367,1,0,1
275,0.358,1,0,1
275,0.441,1,1,1
275,0.368,1,0,1
