participant,rt,accuracy,congruency_num,spacing_num,n_trial_experiment
1108,0.3453,1,0,1,1
1108,0.3992,1,1,1,2
1108,0.4576,1,1,1,3
1108,0.4823,1,0,1,6
1108,0.4915,1,1,1,7
1108,0.4397,1,1,1,9
1108,0.3914,1,0,1,14
1108,0.3589,1,1,1,15
1108,0.4942,1,1,1,16
1108,0.6418,1,0,1,18
1108,0.4066,1,0,1,19
1108,0.4526,1,1,1,21
1108,0.5338,1,0,1,22
1108,0.4204,1,0,1,23
1108,0.3902,1,0,1,24
1108,0.4072,1,1,1,26
1108,0.3851,1,0,1,28
1108,0.3656,1,1,1,29
1108,0.3574,1,0,1,30
1108,0.4589,1,1,1,31
1108,0.4119,1,0,1,33
1108,0.3906,1,0,1,34
1108,0.42,1,0,1,35
1108,0.4321,1,1,1,36
1108,0.3527,1,0,1,37
1108,0.3771,1,1,1,38
1108,0.3832,1,0,1,40
1108,0.3541,1,1,1,41
1108,0.3933,1,0,1,43
1108,0.3952,1,1,1,44
1108,0.4368,1,1,1,45
1108,0.3861,1,1,1,47
1108,0.4185,1,0,1,48
1108,0.4036,0,1,1,53
1108,0.3405,1,1,1,55
1108,0.295,1,0,1,56
1108,0.2787,0,1,1,59
1108,0.5231,1,1,1,61
1108,0.3589,1,0,1,62
1108,0.387,1,0,1,63
1108,0.4658,1,1,1,64
1108,0.4629,1,1,1,65
1108,0.4842,1,0,1,66
1108,0.559,1,0,1,68
1108,0.3578,1,0,1,70
1108,0.2954,1,0,1,71
1108,0.348,1,0,1,72
1108,0.3005,0,1,1,73
1108,0.3713,1,0,1,75
1108,0.3874,1,0,1,76
1108,0.3498,0,1,1,77
1108,0.3995,1,0,1,78
1108,0.4576,1,1,1,80
1108,0.4738,1,1,1,81
1108,0.5043,1,1,1,82
1108,0.442,1,0,1,83
1108,0.4262,1,0,1,84
1108,0.3591,1,1,1,85
1108,0.477,1,1,1,86
1108,0.7071,1,0,1,88
1108,0.5744,1,1,1,90
1108,0.5081,1,0,1,92
1108,0.5712,1,1,1,93
1108,0.3757,1,0,1,94
1108,0.3582,1,1,1,96
1108,0.4442,1,1,1,97
1108,0.5362,1,1,1,98
1108,0.4145,1,0,1,99
1108,0.3989,1,0,1,100
1108,0.6874,1,0,1,101
1108,0.3923,1,1,1,102
1108,0.4846,1,0,1,105
1108,0.5157,1,1,1,106
1108,0.4668,1,0,1,107
1108,0.4368,1,1,1,109
1108,0.4408,1,1,1,111
1108,0.4405,0,1,1,112
1108,0.4785,1,1,1,113
1108,0.3106,1,0,1,116
1108,0.338,1,0,1,117
1108,0.3537,1,0,1,118
1108,0.5487,1,1,1,123
1108,0.4047,1,1,1,124
1108,0.3919,1,0,1,127
1108,0.4584,1,1,1,2
1108,0.4488,1,1,1,3
1108,0.3529,1,1,1,4
1108,0.3268,1,0,1,5
1108,0.4062,1,1,1,6
1108,0.3585,1,0,1,8
1108,0.3779,1,0,1,9
1108,0.4762,1,1,1,10
1108,0.4032,1,1,1,12
1108,0.4595,1,1,1,14
1108,0.4708,1,0,1,15
1108,0.3702,1,0,1,16
1108,0.3749,1,1,1,17
1108,0.5304,1,0,1,18
1108,0.4169,1,0,1,20
1108,0.3805,1,0,1,21
1108,0.2932,1,0,1,22
1108,0.3161,1,1,1,24
1108,0.6094,1,1,1,25
1108,0.427,1,1,1,27
1108,0.3577,1,1,1,30
1108,0.4741,1,1,1,33
1108,0.4744,1,1,1,34
1108,0.387,1,1,1,35
1108,0.391,1,0,1,36
1108,0.444,1,0,1,37
1108,0.6903,1,1,1,38
1108,0.4551,1,0,1,40
1108,0.7283,1,1,1,41
1108,0.4401,1,0,1,42
1108,0.3976,1,0,1,43
1108,0.4244,1,1,1,44
1108,0.4204,1,1,1,49
1108,0.5085,1,0,1,52
1108,0.5393,1,1,1,53
1108,0.4372,1,1,1,54
1108,0.4843,1,0,1,56
1108,0.4369,1,0,1,57
1108,0.3768,1,0,1,59
1108,0.4061,1,0,1,61
1108,0.608,1,1,1,64
1108,0.4323,1,0,1,65
1108,0.431,1,1,1,66
1108,0.3536,0,1,1,67
1108,0.4164,1,0,1,73
1108,0.374,1,0,1,74
1108,0.3578,1,0,1,77
1108,0.3405,1,1,1,78
1108,0.3807,1,0,1,79
1108,0.3554,1,1,1,80
1108,0.3241,1,1,1,82
1108,0.4063,1,1,1,83
1108,0.4654,1,1,1,84
1108,0.4538,1,1,1,85
1108,0.4535,1,1,1,86
1108,0.3409,1,1,1,89
1108,0.3835,1,1,1,91
1108,0.3673,1,0,1,92
1108,0.368,1,1,1,93
1108,0.4219,1,1,1,94
1108,0.3667,0,0,1,96
1108,0.3822,1,0,1,98
1108,0.3271,1,0,1,99
1108,0.4034,1,1,1,101
1108,0.4196,0,1,1,102
1108,0.4415,1,0,1,103
1108,0.4541,1,1,1,105
1108,0.375,1,0,1,106
1108,0.3941,1,1,1,107
1108,0.4076,1,0,1,109
1108,0.4368,1,1,1,110
1108,0.3877,1,0,1,111
1108,0.4217,1,0,1,112
1108,0.3542,1,0,1,114
1108,0.4112,1,0,1,115
1108,0.4072,1,0,1,116
1108,0.3606,1,0,1,117
1108,0.3419,1,0,1,119
1108,0.3156,1,0,1,121
1108,0.4127,1,0,1,122
1108,0.3412,1,0,1,123
1108,0.5068,1,1,1,125
1108,0.3506,1,0,1,126
1108,0.4514,1,1,1,4
1108,0.4258,1,0,1,5
1108,0.4825,1,1,1,6
1108,0.3922,1,1,1,7
1108,0.2993,1,0,1,9
1108,0.384,1,1,1,10
1108,0.4025,1,1,1,11
1108,0.4248,1,0,1,13
1108,0.4083,1,0,1,15
1108,0.4173,1,0,1,16
1108,0.4415,1,1,1,17
1108,0.474,1,0,1,18
1108,0.3976,1,1,1,19
1108,0.3611,1,1,1,20
1108,0.3244,1,0,1,22
1108,0.3599,1,1,1,23
1108,0.2858,0,0,1,24
1108,0.3751,1,0,1,27
1108,0.3496,1,0,1,28
1108,0.401,1,1,1,29
1108,0.3579,1,0,1,30
1108,0.3262,1,1,1,31
1108,0.4404,0,1,1,32
1108,0.3935,1,0,1,33
1108,0.3726,1,0,1,35
1108,0.3907,1,0,1,36
1108,0.3462,1,0,1,37
1108,0.3704,1,0,1,39
1108,0.4258,1,1,1,40
1108,0.3588,0,1,1,43
