,participant,rt,accuracy,congruency_num,spacing_num
0,6361,0.469,1,0,1
1,5281,0.454,1,0,1
2,8785,0.4345,1,0,1
3,6253,0.29,1,1,1
4,6427,0.515,1,0,1
5,1638,0.4156,1,0,1
6,1614,0.584,1,1,1
7,3910,0.4119,1,1,1
8,3625,0.4459,0,1,1
9,808,0.4861,1,0,1
10,3580,0.506,1,1,1
11,4222,0.4448,1,1,1
12,7939,0.401,1,0,1
13,6253,0.459,1,0,1
14,833,0.4338,1,0,1
15,3292,0.3523,1,1,1
16,1821,0.548,1,1,1
17,985,0.424,1,1,1
18,7768,0.4552,1,1,1
20,1824,0.5205,1,1,1
21,8446,0.3894,1,1,1
22,7768,0.5241,1,0,1
24,1821,0.286,1,1,1
25,8446,0.3039,1,0,1
26,1601,0.3779,1,0,1
27,1824,0.4663,1,0,1
28,5803,0.467,0,1,1
29,5332,0.403,1,1,1
30,3910,0.341,1,1,1
31,5575,0.4353,1,0,1
32,7924,0.4605,1,0,1
33,1583,0.6076,1,1,1
34,6583,0.3501,1,1,1
35,6844,0.444,1,1,1
36,5575,0.5068,1,1,1
37,7768,0.5525,1,1,1
38,1663,0.373,1,1,1
39,5575,0.3522,1,0,1
40,1538,0.5115,1,1,1
41,1597,0.466,1,0,1
42,833,0.4005,1,1,1
43,7924,0.452,1,1,1
44,833,0.5217,1,0,1
46,6427,0.534,1,1,1
47,837,0.469,0,1,1
48,8521,0.5547,1,1,1
49,6361,0.512,1,0,1
51,1597,0.579,1,1,1
52,8521,0.5335,1,1,1
53,7768,0.399,1,1,1
54,845,0.4,1,1,1
55,7807,0.543,1,1,1
56,1761,0.634,1,1,1
57,337788,0.544,1,0,1
58,5761,0.4555,1,1,1
59,1638,0.3919,1,0,1
60,8308,0.37,1,1,1
61,4222,0.332,1,1,1
62,3625,0.3934,1,1,1
63,4264,0.4681,1,0,1
64,5803,0.465,1,1,1
65,6583,0.4566,1,0,1
66,8446,0.3244,1,0,1
67,5731,0.643,1,1,1
68,5575,0.3851,1,0,1
69,7828,0.3787,1,0,1
70,5575,0.4949,1,0,1
71,6262,0.4056,1,0,1
72,6253,0.55,1,0,1
73,8521,0.5681,1,0,1
74,1821,0.3233,1,1,1
75,1507,0.3849,1,0,1
76,6634,0.4504,0,1,1
77,7828,0.4663,1,1,1
78,6634,0.4338,1,1,1
79,810,0.4792,1,1,1
80,6844,0.586,1,0,1
81,8446,0.4058,1,0,1
82,5332,0.476,1,1,1
83,6427,0.463,1,1,1
84,1663,0.458,1,0,1
85,3754,0.4552,1,1,1
86,161753,0.473,1,1,1
87,3580,0.449,0,1,1
88,1583,0.3576,1,0,1
89,8311,0.379,1,0,1
90,6634,0.4601,1,0,1
91,7756,0.4122,1,1,1
92,5332,0.451,1,0,1
93,6361,0.457,1,0,1
94,3580,0.347,1,0,1
95,6214,0.3454,1,0,1
96,3988,0.4328,1,1,1
97,1583,0.4147,1,0,1
98,808,0.8147,1,0,1
99,5815,0.5145,1,1,1
100,161753,0.501,1,1,1
101,275,0.434,1,0,1
102,4264,0.4644,1,0,1
103,3754,0.5579,1,1,1
104,810,0.3891,1,0,1
105,985,0.39,1,1,1
106,4264,0.3212,1,0,1
107,837,0.385,1,1,1
108,1813,0.2862,1,0,1
109,7840,0.575,1,1,1
110,810,0.4904,1,1,1
111,7756,0.4204,1,0,1
112,5575,0.3737,1,1,1
113,916,0.45,1,0,1
114,6262,0.4532,1,0,1
115,5803,0.4,1,0,1
116,8311,0.366,1,0,1
117,275,0.583,1,1,1
118,1821,0.2969,1,1,1
119,808,0.4143,1,1,1
120,808,0.4302,1,1,1
121,7756,0.412,1,1,1
122,5281,0.523,1,0,1
123,985,0.33,1,0,1
124,6055,0.474,1,1,1
125,1638,0.3905,1,1,1
127,5815,0.6485,1,1,1
128,5803,0.486,1,1,1
129,7828,0.3687,1,0,1
130,7939,0.577,1,1,1
131,3487,0.3366,1,0,1
132,1761,0.4703,1,0,1
133,3292,0.4346,1,1,1
134,6361,0.712,1,0,1
135,3286,0.424,1,0,1
136,337788,0.352,1,1,1
137,1761,0.5682,1,1,1
138,8311,0.438,1,0,1
139,6427,0.385,1,1,1
140,808,0.357,1,0,1
141,8311,0.4,1,1,1
142,3754,0.5527,1,1,1
143,8755,0.4633,1,0,1
144,5761,0.4337,1,1,1
145,985,0.485,1,0,1
146,1538,0.6333,1,0,1
147,8446,0.3376,1,1,1
148,8026,0.399,1,0,1
149,7807,0.4349,1,1,1
150,6262,0.4506,1,1,1
151,6844,0.558,1,1,1
152,1657,0.3893,1,1,1
153,8311,0.374,1,0,1
154,1821,0.345599999,1,0,1
155,275,0.343,1,1,1
156,7840,0.639,1,1,1
157,275,0.468,1,0,1
158,1813,0.3872,1,1,1
159,8026,0.528,1,1,1
160,6634,0.3349,1,0,1
161,6253,0.301,0,1,1
162,8521,0.4335,1,0,1
163,810,0.4345,1,1,1
164,1821,0.393700001,1,1,1
165,7813,0.292,1,0,1
166,1601,0.4665,1,0,1
167,5575,0.3705,1,0,1
168,833,0.5796,1,1,1
169,8521,0.4984,1,0,1
170,5281,0.489,1,1,1
171,5761,0.4654,1,0,1
172,845,0.332,1,1,1
173,5803,0.437,1,0,1
174,916,0.4211,1,0,1
175,6055,0.456,1,0,1
176,3625,0.5417,1,0,1
177,6583,0.5142,1,1,1
178,7813,0.447,1,0,1
179,1761,0.5184,1,1,1
181,5815,0.564,1,1,1
182,7813,0.399,1,1,1
183,1601,0.6307,1,0,1
184,1663,0.513,1,1,1
185,8521,0.4672,1,0,1
186,6214,0.4063,1,1,1
187,7807,0.4674,1,1,1
189,3754,0.536,1,0,1
190,1507,0.4661,1,0,1
191,6214,0.4933,1,1,1
192,3286,0.367,1,1,1
193,3910,0.3754,1,0,1
194,8311,0.388,1,0,1
195,3988,0.47,1,1,1
196,3625,0.4415,1,0,1
197,1663,0.361,1,0,1
198,810,0.5023,1,0,1
199,1768,0.411,1,0,1
200,161753,0.439,1,0,1
201,1601,0.5285,1,0,1
202,7939,0.422,1,1,1
203,3988,0.6266,1,1,1
204,5731,0.379,1,0,1
205,1538,0.4106,1,1,1
206,3292,0.534,1,0,1
207,3910,0.4675,1,1,1
208,1761,0.5191,1,1,1
209,808,0.3664,1,0,1
210,8308,0.695,1,0,1
211,1108,0.4285,1,0,1
212,3580,0.517,1,1,1
213,8446,0.3881,1,0,1
214,6361,0.428,1,0,1
215,1597,0.559,1,1,1
216,5332,0.528,1,1,1
217,1538,0.4209,1,0,1
218,5803,0.509,0,1,1
219,8521,0.4672,1,1,1
220,8788,0.3768,0,1,1
221,3580,0.347,0,1,1
222,4264,0.4135,1,0,1
223,1430,0.405,1,1,1
224,8026,0.362,0,0,1
225,8704,0.695,1,1,1
226,8755,0.471,1,1,1
227,5761,0.4635,1,1,1
228,3286,0.389,1,0,1
229,1614,0.51,1,0,1
230,5281,0.422,1,1,1
231,5731,0.414,1,0,1
232,8446,0.44,1,1,1
233,6253,0.555,1,1,1
234,5761,0.5005,1,0,1
235,337788,0.586,1,0,1
236,6427,0.312,1,0,1
237,8026,0.401,1,0,1
238,275,0.437,1,1,1
239,7924,0.5673,1,1,1
240,845,0.382,1,0,1
241,6427,0.461,1,0,1
242,1538,0.6479,1,1,1
243,3286,0.43,1,0,1
244,6253,0.297,0,0,1
245,1761,0.4173,1,1,1
246,275,0.428,1,0,1
247,8755,0.3955,1,1,1
248,6361,0.534,1,0,1
249,6634,0.5334,1,1,1
251,7768,0.3674,1,1,1
252,810,0.4682,1,0,1
253,8308,0.555,1,0,1
254,5281,0.405,1,1,1
255,6583,0.4305,1,1,1
256,6262,0.423,1,1,1
257,6427,0.581,1,0,1
258,4222,0.4027,1,0,1
259,8446,0.4027,1,0,1
260,3754,0.4925,1,1,1
261,6253,0.425,1,1,1
262,337788,0.438,1,0,1
263,7768,0.4184,1,0,1
264,1507,0.472,1,1,1
265,3754,0.7247,1,1,1
266,275,0.364,1,1,1
267,1538,0.673,1,1,1
268,161753,0.363,1,1,1
270,3910,0.3907,1,0,1
271,6634,0.4705,1,1,1
272,1657,0.4534,1,0,1
273,808,0.3939,1,1,1
274,6427,0.369,1,1,1
275,1813,0.3361,1,1,1
276,3580,0.411,1,1,1
277,1538,0.4512,1,0,1
278,4264,0.4009,1,0,1
279,8785,0.4878,1,0,1
280,8788,0.3705,1,0,1
281,6634,0.4028,1,0,1
282,1601,0.4786,1,1,1
283,3625,0.5153,1,0,1
284,1430,0.374,1,1,1
285,7828,0.4182,1,0,1
286,8311,0.497,1,0,1
288,4222,0.3289,1,0,1
289,5803,0.398,0,1,1
290,6055,0.376,1,0,1
291,1583,0.4443,1,0,1
292,3754,0.4854,1,0,1
293,1538,0.3786,1,0,1
294,3988,0.43,1,0,1
295,833,0.4875,1,1,1
296,1583,0.5029,1,1,1
297,1583,0.4858,1,1,1
298,6109,0.4125,1,1,1
299,7939,0.413,1,0,1
300,5761,0.4027,1,0,1
301,1601,0.3454,1,1,1
302,8026,0.419,1,0,1
303,6361,0.525,1,1,1
304,7813,0.402,1,0,1
305,916,0.3726,1,1,1
306,1430,0.508,1,1,1
307,6214,0.5442,1,1,1
308,916,0.7193,1,1,1
309,4264,0.4345,1,0,1
310,1538,0.3398,1,1,1
311,7756,0.635,1,1,1
312,1813,0.3055,1,0,1
313,1663,0.393,1,0,1
314,3625,0.5093,1,1,1
315,1430,0.59,1,1,1
316,6634,0.2977,0,1,1
317,1657,0.5042,1,1,1
318,3487,0.2729,1,0,1
319,8785,0.5311,1,1,1
320,1761,0.5,1,0,1
321,808,0.388,1,0,1
322,7813,0.307,0,1,1
323,7624,0.507,1,1,1
324,275,0.446,1,0,1
325,5575,0.3996,1,1,1
326,8755,0.4372,1,1,1
327,1597,0.633,1,1,1
328,6214,0.4224,1,0,1
329,4264,0.5521,1,1,1
330,4264,0.5186,1,1,1
331,837,0.302,1,1,1
332,1657,0.5169,1,1,1
333,8755,0.3933,1,1,1
334,6262,0.5135,1,0,1
335,1821,0.4406,1,0,1
336,8026,0.383,1,1,1
337,845,0.598,1,1,1
338,7924,0.454,1,0,1
339,7756,0.4072,1,0,1
340,5803,0.647,1,1,1
341,1657,0.3989,1,1,1
342,1583,0.3771,1,0,1
343,1597,0.473,1,0,1
344,6844,0.497,1,1,1
345,6214,0.3952,1,0,1
346,3292,0.4222,1,0,1
347,7840,0.434,1,0,1
348,8788,0.316400001,0,1,1
350,6361,0.476,1,1,1
