,participant,rt,accuracy,congruency_num,spacing_num
0,1108,0.6583,1,0,0
1,1108,0.425,1,0,0
2,1108,0.4502,1,1,0
3,1108,0.4096,1,1,0
4,1108,0.3733,1,1,0
5,1108,0.4243,1,0,0
6,1108,0.3407,1,0,0
7,1108,0.385,1,1,0
8,1108,0.4283,1,1,0
9,1108,0.3703,1,0,0
10,1108,0.3823,1,1,0
11,1108,0.4244,1,1,0
12,1108,0.3926,1,1,0
13,1108,0.361,1,0,0
14,1108,0.3717,1,0,0
15,1108,0.3516,1,0,0
16,1108,0.3951,1,1,0
17,1108,0.4746,1,1,0
18,1108,0.4039,1,1,0
19,1108,0.4491,1,0,0
20,1108,0.3558,1,0,0
21,1108,0.3443,1,1,0
22,1108,0.3365,1,1,0
23,1108,0.376,1,1,0
24,1108,0.3633,1,0,0
25,1108,0.3111,1,0,0
26,1108,0.4455,1,0,0
27,1108,0.4999,1,1,0
28,1108,0.484,1,0,0
29,1108,0.3925,1,0,0
30,1108,0.6024,1,0,0
31,1108,0.3479,1,1,0
32,1108,0.636,1,1,0
33,1108,0.3815,1,0,0
34,1108,0.3451,0,1,0
35,1108,0.3815,1,1,0
36,1108,0.3709,1,0,0
37,1108,0.4252,1,0,0
38,1108,0.4048,1,0,0
39,1108,0.337,1,0,0
40,1108,0.4702,1,1,0
41,1108,0.3444,0,0,0
42,1108,0.5435,1,1,0
43,1108,0.3909,1,1,0
44,1108,0.6437,1,1,0
45,1108,0.3807,1,0,0
46,1108,0.3742,1,1,0
47,1108,0.4412,1,1,0
48,1108,0.3087,0,0,0
49,1108,0.4733,1,1,0
50,1108,0.6132,1,0,0
51,1108,0.5668,1,0,0
52,1108,0.3086,0,1,0
53,1108,0.4184,1,0,0
54,1108,0.5225,1,1,0
55,1108,0.4032,1,1,0
56,1108,0.4184,1,0,0
57,1108,0.3568,1,0,0
58,1108,0.3728,1,0,0
59,1108,0.342,1,1,0
60,1108,0.3504,1,0,0
61,1108,0.3334,0,1,0
